
Plan name:,FIDELITY RET SAVINGS
Date Range,10/01/2020 - 12/31/2020,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/31/2020,FIMM MMKT INST,Dividends and Interest,"2.07","2.070"
12/30/2020,FID SEL BANKING,CONTRIBUTION,"503.17","22.768"
12/30/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.113"
12/18/2020,FIMM MMKT INST,Exchanges,"-25,000.00","-25,000.000"
12/18/2020,FID SEL MED TECH&amp;DV,Dividends and Interest,"5,886.39","81.236"
12/18/2020,FID SEL LEISURE,Dividends and Interest,"70.29","3.963"
12/18/2020,FID SEL CONSTR/HOUSE,Dividends and Interest,"943.68","12.956"
12/18/2020,FID SEL BIOTECH,Dividends and Interest,"25,543.78","986.628"
12/18/2020,FID SEL BANKING,Exchanges,"15,000.00","695.088"
12/18/2020,FID SEL BANKING,Dividends and Interest,"1,951.42","90.428"
12/18/2020,FID SEL AIR TRANSPRT,Exchanges,"10,000.00","157.779"
12/18/2020,FID DIVIDEND GR K,Dividends and Interest,"893.53","29.296"
12/18/2020,FA TECHNOLOGY Z,Dividends and Interest,"7,582.84","78.206"
12/16/2020,FID SEL BANKING,CONTRIBUTION,"4,371.37","195.587"
12/16/2020,FA CHINA REGION Z,CONTRIBUTION,"2,914.24","54.411"
12/11/2020,FA GOLD Z,Dividends and Interest,"6,270.71","219.871"
12/04/2020,FA CHINA REGION Z,Dividends and Interest,"6,146.13","114.796"
12/02/2020,FIMM MMKT INST,Exchanges,"-15,000.00","-15,000.000"
12/02/2020,FID SEL BANKING,CONTRIBUTION,"503.17","23.231"
12/02/2020,FID SEL AIR TRANSPRT,Exchanges,"15,000.00","237.455"
12/02/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.053"
11/30/2020,FIMM MMKT INST,Dividends and Interest,"3.59","3.590"
11/25/2020,FIMM MMKT INST,Exchanges,"-10,000.00","-10,000.000"
11/25/2020,FID SEL LEISURE,Exchanges,"10,000.00","583.772"
11/18/2020,FID SEL BANKING,CONTRIBUTION,"503.17","24.450"
11/18/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.143"
11/11/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
11/11/2020,FID SEL LEISURE,Exchanges,"10,000.00","607.533"
11/11/2020,FID SEL AIR TRANSPRT,Exchanges,"10,000.00","174.459"
11/04/2020,FID SEL BANKING,CONTRIBUTION,"503.17","28.589"
11/04/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.315"
11/03/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
11/03/2020,FA CHINA REGION Z,Exchanges,"20,000.00","387.222"
10/30/2020,FIMM MMKT INST,Dividends and Interest,"7.21","7.210"
10/28/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
10/28/2020,FID DIVIDEND GR K,Exchanges,"20,000.00","766.578"
10/23/2020,FIMM MMKT INST,Exchanges,"-20,000.00","-20,000.000"
10/23/2020,FID SEL BANKING,Exchanges,"10,000.00","539.665"
10/23/2020,FA CHINA REGION Z,Exchanges,"10,000.00","192.233"
10/21/2020,FID SEL BANKING,CONTRIBUTION,"503.17","28.380"
10/21/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.452"
10/07/2020,FID SEL BANKING,CONTRIBUTION,"503.17","28.173"
10/07/2020,FA CHINA REGION Z,CONTRIBUTION,"335.44","6.666"
