
Plan name:,FIDELITY RET SAVINGS
Date Range,10/01/2017 - 12/31/2017,,,,


Date,Investment,Transaction Type,Amount,Shares/Unit
12/29/2017,FIMM MMKT INST,Dividends and Interest,"146.09","146.090"
12/28/2017,FID FREEDOM 2030 K6,Dividends and Interest,"873.81","48.330"
12/20/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.464"
12/20/2017,FID JAPAN,CONTRIBUTION,"306.94","19.944"
12/20/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.532"
12/15/2017,FID SEL HTH CARE SVC,Dividends and Interest,"5,834.84","64.753"
12/15/2017,FID SEL HEALTHCARE,Dividends and Interest,"699.78","3.116"
12/15/2017,FID SEL FINANCIAL,Dividends and Interest,"1,648.00","14.488"
12/15/2017,FID SEL ENERGY,Dividends and Interest,"652.55","15.831"
12/15/2017,FID SEL CONSTR/HOUSE,Dividends and Interest,"3,646.99","57.733"
12/13/2017,FID SEL GOLD,CONTRIBUTION,"1,620.36","82.840"
12/13/2017,FID JAPAN,CONTRIBUTION,"2,160.48","139.928"
12/13/2017,FID CHINA REGION,CONTRIBUTION,"1,620.36","46.230"
12/08/2017,FID VALUE K,Dividends and Interest,"2,697.11","22.642"
12/08/2017,FID JAPAN SMALL CO,Dividends and Interest,"1,117.37","60.074"
12/08/2017,FID JAPAN,Dividends and Interest,"79.36","5.167"
12/08/2017,FID CHINA REGION,Dividends and Interest,"109.38","3.179"
12/06/2017,FID SEL GOLD,CONTRIBUTION,"230.20","12.072"
12/06/2017,FID JAPAN,CONTRIBUTION,"306.94","20.074"
12/06/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.784"
12/01/2017,FID SEL TECHNOLOGY,Dividends and Interest,"2,560.32","14.312"
12/01/2017,FID SEL BIOTECH,Dividends and Interest,"1,304.43","6.036"
11/30/2017,FIMM MMKT INST,Dividends and Interest,"128.70","128.700"
11/22/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.328"
11/22/2017,FID JAPAN,CONTRIBUTION,"306.94","19.726"
11/22/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.238"
11/08/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.368"
11/08/2017,FID JAPAN,CONTRIBUTION,"306.94","19.866"
11/08/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.460"
10/31/2017,FIMM MMKT INST,Dividends and Interest,"132.20","132.200"
10/25/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.374"
10/25/2017,FID JAPAN,CONTRIBUTION,"306.94","20.712"
10/25/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.732"
10/11/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.668"
10/11/2017,FID JAPAN,CONTRIBUTION,"306.94","21.226"
10/11/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.718"
09/29/2017,FIMM MMKT INST,Dividends and Interest,"127.32","127.320"
09/27/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.084"
09/27/2017,FID JAPAN,CONTRIBUTION,"306.94","21.616"
09/27/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.030"
09/13/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.588"
09/13/2017,FID JAPAN,CONTRIBUTION,"306.94","21.540"
09/13/2017,FID CHINA REGION,CONTRIBUTION,"230.22","6.946"
08/31/2017,FIMM MMKT INST,Dividends and Interest,"130.66","130.660"
08/30/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.594"
08/30/2017,FID JAPAN,CONTRIBUTION,"306.94","21.878"
08/30/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.036"
08/16/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.110"
08/16/2017,FID JAPAN,CONTRIBUTION,"306.94","21.830"
08/16/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.180"
08/02/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.256"
08/02/2017,FID JAPAN,CONTRIBUTION,"306.94","21.630"
08/02/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.220"
07/31/2017,FIMM MMKT INST,Dividends and Interest,"130.37","130.370"
07/28/2017,FID FREEDOM K 2030,Exchanges,"-26,124.58","-1,586.192"
07/28/2017,FID FREEDOM K 2030,Change in Market Value,"1,336.70","0.000"
07/28/2017,FID FREEDOM 2030 K6,Exchanges,"26,124.58","1,493.687"
07/19/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.362"
07/19/2017,FID JAPAN,CONTRIBUTION,"306.94","21.940"
07/19/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.306"
07/05/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.562"
07/05/2017,FID JAPAN,CONTRIBUTION,"306.94","22.322"
07/05/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.674"
06/30/2017,FIMM MMKT INST,Dividends and Interest,"116.75","116.750"
06/21/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.418"
06/21/2017,FID JAPAN,CONTRIBUTION,"306.94","22.018"
06/21/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.664"
06/07/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.802"
06/07/2017,FID JAPAN,CONTRIBUTION,"306.94","21.924"
06/07/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.716"
05/31/2017,FIMM MMKT INST,Dividends and Interest,"113.70","113.700"
05/24/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.230"
05/24/2017,FID JAPAN,CONTRIBUTION,"306.94","22.686"
05/24/2017,FID CHINA REGION,CONTRIBUTION,"230.22","7.844"
05/12/2017,FID FREEDOM K 2030,Dividends and Interest,"442.57","27.835"
05/10/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.710"
05/10/2017,FID JAPAN,CONTRIBUTION,"306.94","23.200"
05/10/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.030"
04/28/2017,FIMM MMKT INST,Dividends and Interest,"108.41","108.410"
04/26/2017,FID SEL GOLD,CONTRIBUTION,"230.20","11.436"
04/26/2017,FID JAPAN,CONTRIBUTION,"306.94","23.394"
04/26/2017,FID CHINA REGION,CONTRIBUTION,"230.22","8.098"
04/12/2017,FID SEL TECHNOLOGY,Dividends and Interest,"1,211.77","8.282"
04/12/2017,FID SEL GOLD,Dividends and Interest,"113.52","5.066"
04/12/2017,FID SEL GOLD,CONTRIBUTION,"230.20","10.272"
